外商投资产业指导目录
（2015年修订）
鼓励外商投资产业目录
36.,"合成纤维原料：尼龙66盐、1,3-丙二醇生产"
37.,合成橡胶：异戊橡胶、聚氨酯橡胶、丙烯酸酯橡胶、氯醇橡胶，以及氟橡胶、硅橡胶等特种橡胶生产
38.,工程塑料及塑料合金：6万吨/年及以上非光气法聚碳酸酯（PC）、均聚法聚甲醛、聚苯硫醚、聚醚醚酮、聚酰亚胺、聚砜、聚醚砜、聚芳酯（PAR）、聚苯醚及其改性材料、液晶聚合物等产品生产
39.,精细化工：催化剂新产品、新技术，染（颜）料商品化加工技术，电子化学品和造纸化学品，皮革化学品（N-N二甲基甲酰胺除外），油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维、无机纳米材料生产，颜料包膜处理深加工
40.,环保型印刷油墨、环保型芳烃油生产
41.,天然香料、合成香料、单离香料生产
42.,高性能涂料，高固体份、无溶剂涂料，水性工业涂料及配套水性树脂生产
43.,高性能氟树脂、氟膜材料，医用含氟中间体，环境友好型含氟制冷剂、和清洁剂、发泡剂生产
44.,从磷化工、铝冶炼中回收氟资源生产
45.,林业化学产品新技术、新产品开发与生产
46.,环保用无机、有机和生物膜开发与生产
47.,新型肥料开发与生产：高浓度钾肥、复合型微生物接种剂、复合微生物肥料、秸杆及垃圾腐熟剂、特殊功能微生物制剂
48.,高效、安全、环境友好的农药新品种、新剂型、专用中间体、助剂的开发与生产，以及相关清洁生产工艺的开发和应用（甲叉法乙草胺、水相法毒死蜱工艺、草甘膦回收氯甲烷工艺、定向合成法手性和立体结构农药生产、乙基氯化物合成技术）
49.,生物农药及生物防治产品开发与生产：微生物杀虫剂、微生物杀菌剂、农用抗生素、昆虫信息素、天敌昆虫、微生物除草剂
50.,废气、废液、废渣综合利用和处理、处置
51.,有机高分子材料生产：飞机蒙皮涂料、稀土硫化铈红色染料、无铅化电子封装材料、彩色等离子体显示屏专用系列光刻浆料、小直径大比表面积超细纤维、高精度燃油滤纸、锂离子电池隔膜、表面处理自我修复材料、超疏水纳米涂层材料
（十一）,医药制造业
52.,新型化合物药物或活性成份药物的生产（包括原料药和制剂）
53.,氨基酸类：发酵法生产色氨酸、组氨酸、蛋氨酸等生产
54.,新型抗癌药物、新型心脑血管药及新型神经系统用药的开发及生产
55.,采用生物工程技术的新型药物生产
56.,艾滋病疫苗、丙肝疫苗、避孕疫苗及宫颈癌、疟疾、手足口病等新型疫苗生产
57.,海洋药物的开发及生产
58.,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品生产
59.,新型药用辅料的开发及生产
60.,动物专用抗菌原料药生产（包括抗生素、化学合成类）
61.,兽用抗菌药、驱虫药、杀虫药、抗球虫药新产品及新剂型生产
62.,新型诊断试剂的开发及生产
（十二）,化学纤维制造业
63.,差别化化学纤维及芳纶、碳纤维、高强高模聚乙烯、聚苯硫醚（PPS）等高新技术化纤（粘胶纤维除外）生产
64.,纤维及非纤维用新型聚酯生产：聚对苯二甲酸丙二醇酯（PTT）、聚葵二甲酸乙二醇酯（PEN）、聚对苯二甲酸环己烷二甲醇酯（PCT）、二元醇改性聚对苯二甲酸乙二醇酯（PETG）
65.,利用新型可再生资源和绿色环保工艺生产生物质纤维，包括新溶剂法纤维素纤维（Lyocell）、以竹、麻等为原料的再生纤维素纤维、聚乳酸纤维（PLA）、甲壳素纤维、聚羟基脂肪酸酯纤维（PHA）、动植物蛋白纤维等
66.,尼龙11、尼龙1414、尼龙46、长碳链尼龙、耐高温尼龙等新型聚酰胺开发与生产
67.,子午胎用芳纶纤维及帘线生产
（十三）,橡胶和塑料制品业
68.,新型光生态多功能宽幅农用薄膜开发与生产
69.,废旧塑料的回收和再利用
70.,塑料软包装新技术、新产品（高阻隔、多功能膜及原料）开发与生产
（十四）,非金属矿物制品业
71.,节能、环保、利废、轻质高强、高性能、多功能建筑材料开发生产
72.,以塑代钢、以塑代木、节能高效的化学建材品生产
73.,年产1000万平方米及以上弹性体、塑性体改性沥青防水卷材，宽幅（2米以上）三元乙丙橡胶防水卷材及配套材料，宽幅（2米以上）聚氯乙烯防水卷材，热塑性聚烯烃（TPO）防水卷材生产
74.,新技术功能玻璃开发生产：屏蔽电磁波玻璃、微电子用玻璃基板、透红外线无铅玻璃、电子级大规格石英玻璃制品（管、板、坩埚、仪器器皿等）、光学性能优异多功能风挡玻璃、信息技术用极端材料及制品（包括波导级高精密光纤预制棒石英玻璃套管和陶瓷基板）、高纯（≥99.998%）超纯（≥99.999%）水晶原料提纯加工
75.,薄膜电池导电玻璃、太阳能集光镜玻璃、建筑用导电玻璃生产
76.,玻璃纤维制品及特种玻璃纤维生产：低介电玻璃纤维、石英玻璃纤维、高硅氧玻璃纤维、高强高弹玻璃纤维、陶瓷纤维等及其制品
77.,光学纤维及制品生产：传像束及激光医疗光纤、超二代和三代微通道板、光学纤维面板、倒像器及玻璃光锥
78.,陶瓷原料的标准化精制、陶瓷用高档装饰材料生产
79.,水泥、电子玻璃、陶瓷、微孔炭砖等窑炉用环保（无铬化）耐火材料生产
80.,氮化铝（AlN）陶瓷基片、多孔陶瓷生产
81.,无机非金属新材料及制品生产：复合材料、特种陶瓷、特种密封材料（含高速油封材料）、特种摩擦材料（含高速摩擦制动制品）、特种胶凝材料、特种乳胶材料、水声橡胶制品、纳米材料
82.,有机-无机复合泡沫保温材料生产
83.,高技术复合材料生产：连续纤维增强热塑性复合材料和预浸料、耐温＞300℃树脂基复合材料成型用工艺辅助材料、树脂基复合材料（包括体育用品、轻质高强交通工具部件）、特种功能复合材料及制品（包括深水及潜水复合材料制品、医用及康复用复合材料制品）、碳/碳复合材料、高性能陶瓷基复合材料及制品、金属基和玻璃基复合材料及制品、金属层状复合材料及制品、压力≥320MPa超高压复合胶管、大型客机航空轮胎
84.,精密高性能陶瓷原料生产：碳化硅（SiC）超细粉体（纯度＞99%，平均粒径＜1μm）、氮化硅（Si3N4）超细粉体（纯度＞99%，平均粒径＜1μm）、高纯超细氧化铝微粉（纯度＞99.9%，平均粒径＜0.5μm）、低温烧结氧化锆(ZrO2)粉体（烧结温度＜1350℃）、高纯氮化铝（AlN）粉体（纯度＞99%，平均粒径＜1μm）、金红石型TiO2粉体（纯度＞98.5%）、白炭黑（粒径＜100nm）、钛酸钡（纯度＞99%，粒径＜1μm）
85.,高品质人工晶体及晶体薄膜制品开发生产：高品质人工合成水晶（压电晶体及透紫外光晶体）、超硬晶体（立方氮化硼晶体）、耐高温高绝缘人工合成绝缘晶体（人工合成云母）、新型电光晶体、大功率激光晶体及大规格闪烁晶体、金刚石膜工具、厚度0.3mm及以下超薄人造金刚石锯片
86.,非金属矿精细加工（超细粉碎、高纯、精制、改性）
87.,超高功率石墨电极生产
88.,珠光云母生产（粒径3-150μm）
89.,多维多向整体编制织物及仿形织物生产
90.,利用新型干法水泥窑无害化处置固体废弃物
91.,建筑垃圾再生利用
92.,工业副产石膏综合利用
93.,非金属矿山尾矿综合利用的新技术开发和应用及矿山生态恢复
（十五）,有色金属冶炼和压延加工业
94.,直径200mm以上硅单晶及抛光片生产
95.,高新技术有色金属材料生产：化合物半导体材料（砷化镓、磷化镓、磷化锢、氮化镓），高温超导材料，记忆合金材料(钛镍、铜基及铁基记忆合金材料)，超细（纳米）碳化钙及超细（纳米）晶硬质合金，超硬复合材料，贵金属复合材料，轻金属复合材料及异种材结合，散热器用铝箔，中高压阴极电容铝箔，特种大型铝合金型材，铝合金精密模锻件，电气化铁路架空导线，超薄铜带，耐蚀热交换器铜合金材，高性能铜镍、铜铁合金带，铍铜带、线、管及棒加工材，耐高温抗衰钨丝，镁合金铸件，无铅焊料，镁合金及其应用产品，泡沫铝，钛合金冶炼及加工，原子能级海绵锆，钨及钼深加工产品
（十六）,金属制品业
96.,航空、航天、汽车、摩托车轻量化及环保型新材料研发与制造（专用铝板、铝镁合金材料、摩托车铝合金车架等）
97.,轻金属半固态快速成形材料研发与制造
98.,用于包装各类粮油食品、果蔬、饮料、日化产品等内容物的金属包装制品（厚度0.3毫米以下）的制造及加工（包括制品的内外壁印涂加工）
99.,节镍不锈钢制品的制造
（十七）,通用设备制造业
100.,高档数控机床及关键零部件制造：五轴联动数控机床、数控坐标镗铣加工中心、数控坐标磨床、五轴联动数控系统及伺服装置、精密数控加工用高速超硬刀具
101.,1000吨及以上多工位镦锻成型机制造
102.,报废汽车拆解、破碎及后处理分选设备制造
103.,FTL柔性生产线制造
104.,垂直多关节工业机器人、焊接机器人及其焊接装置设备制造
105.,特种加工机械制造：激光切割和拼焊成套设备、激光精密加工设备、数控低速走丝电火花线切割机、亚微米级超细粉碎机
106.,400吨及以上轮式、履带式起重机械制造
107.,工作压力≥35MPa高压柱塞泵及马达、工作压力≥35MPa低速大扭矩马达的设计与制造
108.,工作压力≥25MPa的整体式液压多路阀，电液比例伺服元件制造
109.,阀岛、功率0.35W以下气动电磁阀、200Hz以上高频电控气阀设计与制造
110.,静液压驱动装置设计与制造
111.,压力10MPa以上非接触式气膜密封、压力10MPa以上干气密封（包括实验装置）的开发与制造
112.,汽车用高分子材料（摩擦片、改型酚醛活塞、非金属液压总分泵等）设备开发与制造
113.,第三代及以上轿车轮毂轴承、高中档数控机床和加工中心轴承、高速线材和板材轧机轴承、高速铁路轴承、振动值Z4以下低噪音轴承、各类轴承的P4和P2级轴承、风力发电机组轴承、航空轴承制造
114.,高密度、高精度、形状复杂的粉末冶金零件及汽车、工程机械等用链条的制造
115.,风电、高速列车用齿轮变速器，船用可变桨齿轮传动系统，大型、重载齿轮箱的制造
116.,耐高温绝缘材料（绝缘等级为F、Ｈ级）及绝缘成型件制造
117.,蓄能器胶囊、液压气动用橡塑密封件开发与制造
118.,高精度、高强度（12.9级以上）、异形、组合类紧固件制造
119.,微型精密传动联结件（离合器）制造
120.,大型轧机连接轴制造
121.,机床、工程机械、铁路机车装备等机械设备再制造及汽车零部件再制造
122.,1000万像素以上数字照相机制造
123.,办公机械制造：多功能一体化办公设备（复印、打印、传真、扫描），彩色打印设备，精度2400dpi及以上高分辨率彩色打印机头，感光鼓
124.,电影机械制造：2K、4K数字电影放映机，数字电影摄像机，数字影像制作、编辑设备
（十八）,专用设备制造业
125.,矿山无轨采、装、运设备制造：200吨及以上机械传动矿用自卸车，移动式破碎机，5000立方米/小时及以上斗轮挖掘机，8立方米及以上矿用装载机，
126.,物探（不含重力、磁力测量）、测井设备制造：MEME地震检波器，数字遥测地震仪，数字成像、数控测井系统，水平井、定向井、钻机装置及器具，MWD随钻测井仪
127.,石油勘探、钻井、集输设备制造：工作水深大于1500米的浮式钻井系统和浮式生产系统及配套海底采油、集输设备
128.,口径2米以上深度30米以上大口径旋挖钻机、直径1.2米以上顶管机、回拖力300吨以上大型非开挖铺设地下管线成套设备、地下连续墙施工钻机制造
129.,520马力及以上大型推土机设计与制造
130.,100立方米/小时及以上规格的清淤机、1000吨及以上挖泥船的挖泥装置设计与制造
131.,防汛堤坝用混凝土防渗墙施工装备设计与制造
132.,水下土石方施工机械制造：水深9米以下推土机、装载机、挖掘机等
133.,公路桥梁养护、自动检测设备制造
134.,公路隧道营运监控、通风、防灾和救助系统设备制造
135.,铁路大型施工、铁路线路、桥梁、隧道维修养护机械和检查、监测设备及其关键零部件的设计与制造
136.,（沥青）油毡瓦设备、镀锌钢板等金属屋顶生产设备制造
137.,环保节能型现场喷涂聚氨酯防水保温系统设备、聚氨酯密封膏配制技术与设备、改性硅酮密封膏配制技术和生产设备制造
138.,高精度带材轧机（厚度精度10微米）设计与制造
139.,多元素、细颗粒、难选冶金属矿产的选矿装置制造
140.,100万吨/年及以上乙烯成套设备中的关键设备制造：年处理能力40万吨以上混合造粒机，直径1000毫米及以上螺旋卸料离心机，小流量高扬程离心泵
141.,金属制品模具（铜、铝、钛、锆的管、棒、型材挤压模具）设计、制造
142.,汽车车身外覆盖件冲压模具，汽车仪表板、保险杠等大型注塑模具，汽车及摩托车夹具、检具设计与制造
143.,汽车动力电池专用生产设备的设计与制造
144.,精密模具（冲压模具精度高于0.02毫米、型腔模具精度高于0.05毫米）设计与制造
145.,非金属制品模具设计与制造
146.,6万瓶/小时及以上啤酒灌装设备、5万瓶/小时及以上饮料中温及热灌装设备、3.6万瓶/小时及以上无菌灌装设备制造
147.,氨基酸、酶制剂、食品添加剂等生产技术及关键设备制造
148.,10吨/小时及以上的饲料加工成套设备及关键部件制造
149.,楞高0.
150.,单张纸多色胶印机（幅宽≥750毫米，印刷速度：单面多色≥16000张/小时，双面多色≥13000张/小时）制造
151.,单幅单纸路卷筒纸平版印刷机印刷速度大于75000对开张/小时（787×880毫米）、双幅单纸路卷筒纸平版印刷机印刷速度大于170000对开张/小时（787×880毫米）、商业卷筒纸平版印刷机印刷速度大于50000对开张/小时（787×880毫米）制造
152.,多色宽幅柔性版印刷机（印刷宽度≥1300毫米，印刷速度≥350米/秒），喷墨数字印刷机（出版用：印刷速度≥150米/分，分辨率≥600dpi；包装用：印刷速度≥30米/分，分辨率≥1000dpi；可变数据用：印刷速度≥100米/分，分辨率≥300dpi）制造
153.,计算机墨色预调、墨色遥控、水墨速度跟踪、印品质量自动检测和跟踪系统、无轴传动技术、速度在75000张/小时的高速自动接纸机、给纸机和可以自动遥控调节的高速折页机、自动套印系统、冷却装置、加硅系统、调偏装置等制造
154.,电子枪自动镀膜机制造
155.,平板玻璃深加工技术及设备制造
156.,新型造纸机械（含纸浆）等成套设备制造
157.,皮革后整饰新技术设备制造
158.,农产品加工及储藏新设备开发与制造：粮食、油料、蔬菜、干鲜果品、肉食品、水产品等产品的加工储藏、保鲜、分级、包装、干燥等新设备，农产品品质检测仪器设备，农产品品质无损伤检测仪器设备，流变仪，粉质仪，超微粉碎设备，高效脱水设备，五效以上高效果汁浓缩设备，粉体食品物料杀菌设备，固态及半固态食品无菌包装设备，碟片式分离离心机
159.,农业机械制造：农业设施设备（温室自动灌溉设备、营养液自动配置与施肥设备、高效蔬菜育苗设备、土壤养分分析仪器），配套发动机功率120千瓦以上拖拉机及配套农具，低油耗低噪音低排放柴油机，大型拖拉机配套的带有残余雾粒回收装置的喷雾机，高性能水稻插秧机，棉花采摘机及棉花采摘台，适应多种行距的自走式玉米联合收割机（液压驱动或机械驱动），花生收获机，油菜籽收获机，甘蔗收割机，甜菜收割机
160.,林业机具新技术设备制造
162.,农用废物的资源化利用及规模化畜禽养殖废物的资源化利用设备制造
163.,节肥、节（农）药、节水型农业技术设备制造
164.,机电井清洗设备及清洗药物生产设备制造
165.,电子内窥镜制造
166.,眼底摄影机制造
167.,医用成像设备（高场强超导型磁共振成像设备、X线计算机断层成像设备、数字化彩色超声诊断设备等)关键部件的制造
168.,医用超声换能器（3D）制造
169.,硼中子俘获治疗设备制造
170.,图像引导适型调强放射治疗系统制造
171.,血液透析机、血液过滤机制造
172.,全自动生化监测设备、五分类血液细胞分析仪、全自动化学发光免疫分析仪、高通量基因测序系统制造
173.,药品质量控制新技术、新设备制造
174.,天然药物有效物质分析的新技术、提取的新工艺、新设备开发与制造
175.,非PVC医用输液袋多层共挤水冷式薄膜吹塑装备制造
176.,新型纺织机械、关键零部件及纺织检测、实验仪器开发与制造
177.,电脑提花人造毛皮机制造
178.,太阳能电池生产专用设备制造
179.,大气污染防治设备制造：耐高温及耐腐蚀滤料、低NOx燃烧装置、烟气脱氮催化剂及脱氮成套装置、工业有机废气净化设备、柴油车排气净化装置、含重金属废气处理装置
180.,水污染防治设备制造：卧式螺旋离心脱水机、膜及膜材料、50kg/h以上的臭氧发生器、10kg/h以上的二氧化氯发生器、紫外消毒装置、农村小型生活污水处理设备、含重金属废水处理装置
181.,固体废物处理处置设备制造：污水处理厂污泥处置及资源利用设备、日处理量500吨以上垃圾焚烧成套设备、垃圾填埋渗滤液处理技术装备、垃圾填埋场防渗土工膜、建筑垃圾处理和资源化利用装备、危险废物处理装置、垃圾填埋场沼气发电装置、废钢铁处理设备、污染土壤修复设备
182.,铝工业赤泥综合利用设备开发与制造
183.,尾矿综合利用设备制造
184.,废旧塑料、电器、橡胶、电池回收处理再生利用设备制造
185.,废旧纺织品回收处理设备制造
186.,废旧机电产品再制造设备制造
187.,废旧轮胎综合利用装置制造
188.,水生生态系统的环境保护技术、设备制造
189.,移动式组合净水设备制造
190.,非常规水处理、重复利用设备与水质监测仪器
191.,工业水管网和设备（器具）的检漏设备和仪器
192.,日产10万立方米及以上海水淡化及循环冷却技术和成套设备开发与制造
193.,特种气象观测及分析设备制造
194.,地震台站、台网和流动地震观测技术系统开发及仪器设备制造
195.,四鼓及以上子午线轮胎成型机制造
196.,滚动阻力试验机、轮胎噪音试验室制造
197.,供热计量、温控装置新技术设备制造
198.,氢能制备与储运设备及检查系统制造
199.,新型重渣油气化雾化喷嘴、漏汽率0.5%及以下高效蒸汽疏水阀、1000℃及以上高温陶瓷换热器制造
200.,海上溢油回收装置制造
201.,低浓度煤矿瓦斯和乏风利用设备制造
202.,洁净煤技术产品的开发利用及设备制造（煤炭气化、液化、水煤浆、工业型煤）
203.,大型公共建筑、高层建筑、石油化工设施、森林、山岳、水域和地下设施消防灭火救援技术开发与设备制造
（十九）,汽车制造业
204.,汽车发动机制造及发动机研发机构建设：升功率不低于70千瓦的汽油发动机、升功率不低于50千瓦的排量3升以下柴油发动机、升功率不低于40千瓦的排量3升以上柴油发动机、燃料电池和混合燃料等新能源发动机
205.,汽车关键零部件制造及关键技术研发：双离合器变速器（DCT）、无级自动变速器（CVT）、电控机械变速器（AMT）、汽油发动机涡轮增压器、粘性连轴器（四轮驱动用）、自动变速器执行器(电磁阀)、液力缓速器、电涡流缓速器、汽车安全气囊用气体发生器、燃油共轨喷射技术（最大喷射压力大于2000帕）、可变截面涡轮增压技术（VGT）、可变喷嘴涡轮增压技术（VNT）、达到中国Ⅴ阶段污染物排放标准的发动机排放控制装置、智能扭矩管理系统（ITM）及耦合器总成、线控转向系统、柴油机颗粒捕捉器、低地板大型客车专用车桥、吸能式转向系统、大中型客车变频空调系统、汽车用特种橡胶配件，以及上述零部件的关键零件、部件
206.,汽车电子装置制造与研发：发动机和底盘电子控制系统及关键零部件，车载电子技术（汽车信息系统和导航系统），汽车电子总线网络技术（限于合资），电子控制系统的输入（传感器和采样系统）输出（执行器）部件，电动助力转向系统电子控制器（限于合资），嵌入式电子集成系统、电控式空气弹簧，电子控制式悬挂系统，电子气门系统装置，电子组合仪表，ABS/TCS/ESP系统，电路制动系统（BBW），变速器电控单元（TCU），轮胎气压监测系统（TPMS），车载故障诊断仪（OBD），发动机防盗系统，自动避撞系统，汽车、摩托车型试验及维修用检测系统
207.,新能源汽车关键零部件制造：能量型动力电池（能量密度≥110Wh/kg，循环寿命≥2000次，外资比例不超过50%)，电池正极材料（比容量≥150mAh/g，循环寿命2000次不低于初始放电容量的80%），电池隔膜（厚度15-40μm，孔隙率40%-60%）；电池管理系统，电机管理系统，电动汽车电控集成；电动汽车驱动电机（峰值功率密度≥2.5kW/kg，高效区：65%工作区效率≥80%），车用DC/DC（输入电压100V-400V），大功率电子器件（IGBT，电压等级≥600V，电流≥300A）；插电式混合动力机电耦合驱动系统
（二十）,铁路、船舶、航空航天和其他运输设备制造业
208.,达到中国摩托车Ⅲ阶段污染物排放标准的大排量（排量＞250ml）摩托车发动机排放控制装置制造
209.,轨道交通运输设备（限于合资、合作）
210.,民用飞机设计、制造与维修：干线、支线飞机（中方控股），通用飞机（限于合资、合作）
211.,民用飞机零部件制造与维修
212.,民用直升机设计与制造（3吨级及以上需中方控股）
213.,民用直升机零部件制造
214.,地面、水面效应飞机制造及无人机、浮空器设计与制造（中方控股）
215.,航空发动机及零部件、航空辅助动力系统设计、制造与维修
216.,民用航空机载设备设计与制造
217.,航空地面设备制造：民用机场设施、民用机场运行保障设备、飞行试验地面设备、飞行模拟与训练设备、航空测试与计量设备、航空地面试验设备、机载设备综合测试设备、航空制造专用设备、航空材料试制专用设备、民用航空器地面接收及应用设备、运载火箭地面测试设备、运载火箭力学及环境实验设备
218.,航天器光机电产品、航天器温控产品、星上产品检测设备、航天器结构与机构产品制造
219.,轻型燃气轮机制造
220.,豪华邮轮及深水（3000米以上）海洋工程装备的设计
221.,海洋工程装备（含模块）的制造与修理（中方控股）
222.,船舶低、中速柴油机及其零部件的设计
223.,船舶低、中速柴油机及曲轴的制造（中方控股）
224.,船舶舱室机械的设计与制造
225.,船舶通讯导航设备的设计与制造：船舶通信系统设备、船舶电子导航设备、船用雷达、电罗经自动舵、船舶内部公共广播系统等
226.,游艇的设计与制造
（二十一）,电气机械和器材制造业
227.,100万千瓦超超临界火电机组用关键辅机设备制造：安全阀、调节阀
228.,燃煤电站、钢铁行业烧结机脱硝技术装备制造
229.,火电设备的密封件设计、制造
230.,燃煤电站、水电站设备用大型铸锻件制造
231.,水电机组用关键辅机设备制造
232.,输变电设备制造
233.,新能源发电成套设备或关键设备制造：光伏发电、地热发电、潮汐发电、波浪发电、垃圾发电、沼气发电、2.5兆瓦及以上风力发电设备
234.,额定功率350MW及以上大型抽水蓄能机组制造：水泵水轮机及调速器、大型变速可逆式水泵水轮机组、发电电动机及励磁、启动装置等附属设备
235.,斯特林发电机组制造
236.,直线和平面电机及其驱动系统开发与制造
237.,高技术绿色电池制造：动力镍氢电池、锌镍蓄电池、锌银蓄电池、锂离子电池、太阳能电池、燃料电池等（新能源汽车能量型动力电池除外）
238.,电动机采用直流调速技术的制冷空调用压缩机、采用CO2自然工质制冷空调压缩机、应用可再生能源（空气源、水源、地源）制冷空调设备制造
239.,太阳能空调、采暖系统、太阳能干燥装置制造
240.,生物质干燥热解系统、生物质气化装置制造
241.,交流调频调压牵引装置制造
（二十二）,计算机、通信和其他电子设备制造业
242.,高清数字摄录机、数字放声设备制造
243.,TFT-LCD、PDP、OLED等平板显示屏、显示屏材料制造（6代及6代以下TFT-LCD玻璃基板除外）
244.,大屏幕彩色投影显示器用光学引擎、光源、投影屏、高清晰度投影管和微显投影设备模块等关键件制造
245.,数字音、视频编解码设备，数字广播电视演播室设备，数字有线电视系统设备，数字音频广播发射设备，数字电视上下变换器，数字电视地面广播单频网（SFN）设备，卫星数字电视上行站设备制造
246.,集成电路设计，线宽28纳米及以下大规模数字集成电路制造，
0.,11微米及以下模拟、数模集成电路制造，MEMS和化合物半导体集成电路制造及BGA、PGA、CSP、MCM等先进封装与测试
247.,大中型电子计算机、万万亿次高性能计算机、便携式微型计算机、大型模拟仿真系统、大型工业控制机及控制器制造
248.,计算机数字信号处理系统及板卡制造
249.,图形图像识别和处理系统制造
250.,大容量光、磁盘驱动器及其部件开发与制造
251.,高速、容量100TB及以上存储系统及智能化存储设备制造
252.,计算机辅助设计（三维CAD）、电子设计自动化（EDA）、辅助测试（CAT）、辅助制造（CAM）、辅助工程（CAE）系统及其他计算机应用系统制造
253.,软件产品开发、生产
254.,电子专用材料开发与制造（光纤预制棒开发与制造除外）
255.,电子专用设备、测试仪器、工模具制造
256.,新型电子元器件制造：片式元器件、敏感元器件及传感器、频率控制与选择元件、混合集成电路、电力电子器件、光电子器件、新型机电元件、高分子固体电容器、超级电容器、无源集成元件、高密度互连积层板、多层挠性板、刚挠印刷电路板及封装载板
257.,触控系统（触控屏幕、触控组件等）制造
258.,发光效率140lm/W以上高亮度发光二极管、发光效率140lm/W以上发光二极管外延片（蓝光）、发光效率140lm/W以上且功率200mW以上白色发光管制造
259.,高密度数字光盘机用关键件开发与生产
260.,可录类光盘生产
261.,民用卫星设计与制造、民用卫星有效载荷制造（中方控股）
262.,民用卫星零部件制造
263.,卫星通信系统设备制造
264.,光通信测量仪表、速率40Gb/s及以上光收发器制造
265.,超宽带（UWB）通信设备制造
266.,无线局域网（含支持WAPI）、广域网设备制造
267.,100Gbps及以上速率时分复用设备（TDM）、密集波分复用设备（DWDM）、宽带无源网络设备（包括EPON、GPON、WDM-PON等）、下一代DSL芯片及设备、光交叉连接设备（OXC）、自动光交换网络设备（ASON）、40G/sSDH以上光纤通信传输设备制造
268.,基于IPv6的下一代互联网系统设备、终端设备、检测设备、软件、芯片开发与制造
269.,第三代及后续移动通信系统手机、基站、核心网设备以及网络检测设备开发与制造
270.,高端路由器、千兆比以上网络交换机开发与制造
271.,空中交通管制系统设备制造
272.,基于声、光、电、触控等计算机信息技术的中医药电子辅助教学设备，虚拟病理、生理模型人设备的开发与制造
（二十三）,仪器仪表制造业
273.,工业过程自动控制系统与装置制造：现场总线控制系统，大型可编程控制器（PLC），两相流量计，固体流量计，新型传感器及现场测量仪表
274.,大型精密仪器开发与制造
275.,高精度数字电压表、电流表制造（显示量程七位半以上）
276.,无功功率自动补偿装置制造
277.,安全生产新仪器设备制造
278.,VXI总线式自动测试系统（符合IEEE1155国际规范）制造
279.,煤矿井下监测及灾害预报系统、煤炭安全检测综合管理系统开发与制造
280.,工程测量和地球物理观测设备制造
281.,环境监测仪器制造
282.,水文数据采集、处理与传输和防洪预警仪器及设备制造
283.,海洋勘探监测仪器和设备制造
