外商投资产业指导目录
（2015年修订）
鼓励外商投资产业目录
一、,农、林、牧、渔业
1.,木本食用油料、调料和工业原料的种植及开发、生产
2.,绿色、有机蔬菜（含食用菌、西甜瓜）、干鲜果品、茶叶栽培技术开发及产品生产
3.,糖料、果树、牧草等农作物栽培新技术开发及产品生产
4.,花卉生产与苗圃基地的建设、经营
5.,橡胶、油棕、剑麻、咖啡种植
6.,中药材种植、养殖
7.,农作物秸秆还田及综合利用、有机肥料资源的开发生产
8.,水产苗种繁育（不含我国特有的珍贵优良品种）
9.,防治荒漠化及水土流失的植树种草等生态环境保护工程建设、经营
10.,水产品养殖、深水网箱养殖、工厂化水产养殖、生态型海洋增养殖
二、,采矿业
11.,石油、天然气（含油页岩、油砂、页岩气、煤层气等非常规油气）的勘探、开发和矿井瓦斯利用（限于合资、合作）
12.,提高原油采收率（以工程服务形式）及相关新技术的开发应用
13.,物探、钻井、测井、录井、井下作业等石油勘探开发新技术的开发与应用
14.,提高矿山尾矿利用率的新技术开发和应用及矿山生态恢复技术的综合应用
15.,我国紧缺矿种（如钾盐、铬铁矿等）的勘探、开采和选矿
三、,制造业
（一）,农副食品加工业
16.,绿色无公害饲料及添加剂开发
17.,水产品加工、贝类净化及加工、海藻保健食品开发
18.,蔬菜、干鲜果品、禽畜产品加工
（二）,食品制造业
19.,婴儿、老年食品及保健食品的开发、生产
20.,森林食品的开发、生产
21.,天然食品添加剂、天然香料新技术开发与生产
（三）,酒、饮料和精制茶制造业
22.,果蔬饮料、蛋白饮料、茶饮料、咖啡饮料、植物饮料的开发、生产
（四）,纺织业
23.,采用非织造、机织、针织及其复合工艺技术的轻质、高强、耐高/低温、耐化学物质、耐光等多功能化的产业用纺织品生产
24.,采用先进节能减排技术和装备的高档织物印染及后整理加工
25.,符合生态、资源综合利用与环保要求的特种天然纤维（包括山羊绒等特种动物纤维、竹纤维、麻纤维、蚕丝、彩色棉花等）产品加工
（五）,纺织服装、服饰业
26.,采用计算机集成制造系统的服装生产
27.,功能性特种服装生产
（六）,皮革、毛皮、羽毛及其制品和制鞋业
28.,皮革和毛皮清洁化技术加工
29.,皮革后整饰新技术加工
30.,皮革废弃物综合利用
（七）,木材加工和木、竹、藤、棕、草制品业
31.,林业三剩物，“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产
（八）,文教、工美、体育和娱乐用品制造业
32.,高档地毯、刺绣、抽纱产品生产
（九）,石油加工、炼焦和核燃料加工业
33.,酚油加工、洗油加工、煤沥青高端化利用（不含改质沥青）
（十）,化学原料和化学制品制造业
34.,聚氯乙烯和有机硅新型下游产品开发与生产
35.,"合成材料的配套原料：过氧化氢氧化丙烯法环氧丙烷、萘二甲酸二甲酯（NDC）、1,4-环己烷二甲醇（CHDM）、5万吨/年及以上丁二烯法己二腈、己二胺生产"
